text,label
"I absolutely love this product! Highly recommend!",positive
"This is terrible, worst experience ever",negative
"It's okay, nothing special",neutral
"Amazing! Best purchase I've made",positive
"Disappointed with the quality",negative
"I love this phone, best ever!",positive
"Worst service ever, avoid!",negative
"It's fine, does the job",neutral
"Great experience!",positive
"Never buying this brand again",negative
"Your presentation was amazing!",positive
"This meeting could have been better",neutral
"I hate this rain, it's depressing",negative
"Have a great day everyone!",positive
"Stop complaining about everything",negative
