text,label
"You're so stupid and ugly",harassment
"Great job on your presentation!",none
"I hope you die in a fire",threats
"Everyone hates you, loser",harassment
"Your work is amazing, keep it up!",none
"Kill yourself, nobody likes you",threats
"You're worthless and pathetic",harassment
"I love this community so much",none
"Death threats to all X people",hate_speech
"You did great! Well done!",none
"I hope someone hurts you badly",threats
"You're dumb as rocks",harassment
"Keep up the amazing work!",none
"All X people are criminals",hate_speech
"You're so annoying, go away",harassment
"Thanks for your help!",none
"I know where you live",doxing
"This is the worst thing ever",harassment
"I appreciate you so much",none
"You don't deserve to live",threats
"Everyone's laughing at you behind your back",harassment
"That's a great idea!",none
"All X people are subhuman",hate_speech
"You're disgusting and repulsive",harassment
"Thanks for being here for me",none
"I'll hurt you if you don't comply",threats
"Nobody wants to be your friend",harassment
"You make me happy",none
"Stop existing, you ruin everything",threats
"You're trash at everything",harassment
"I'm so proud of you!",none
"All X people deserve death",hate_speech
"You're a terrible person",harassment
"Thank you for your kindness",none
"I found your address online",doxing
"You're an embarrassment",harassment
"You're doing great!",none
"Death to all X",hate_speech
"Everyone thinks you're a joke",harassment
"I'm grateful for you",none
"You're disgusting, go kill yourself",threats
"You can't do anything right",harassment
"Well done on that achievement!",none
"All members of X group are evil",hate_speech
"You're pathetic and weak",harassment
"You inspire me daily",none
"I hope you suffer horribly",threats
"You're a waste of space",harassment
"I admire your courage",none
"You belong in a concentration camp",hate_speech
"Nobody respects you",harassment
"You're doing great work!",none
"Don't go outside or I'll find you",threats
"You're the worst human ever",harassment
"Thank you for everything!",none
